Timestamp,"Do you have any formal musical training? (e.g., lessons, playing an instrument, music classes)",How often do you listen to music?,How familiar are you with Coldplay's music?,How positive or negative is the emotion this music is expressing?,How energetic or intense is this music?,Which single word best describes the emotion this music is expressing?,How confident are you in your ratings for this clip?,How positive or negative is the emotion this music is expressing?,How energetic or intense is this music?,Which single word best describes the emotion this music is expressing?,How confident are you in your ratings for this clip?,How positive or negative is the emotion this music is expressing?,How energetic or intense is this music?,Which single word best describes the emotion this music is expressing?,How confident are you in your ratings for this clip?,How positive or negative is the emotion this music is expressing?,How energetic or intense is this music?,Which single word best describes the emotion this music is expressing?,How confident are you in your ratings for this clip?,How positive or negative is the emotion this music is expressing?,How energetic or intense is this music?,Which single word best describes the emotion this music is expressing?,How confident are you in your ratings for this clip?,How positive or negative is the emotion this music is expressing?,How energetic or intense is this music?,Which single word best describes the emotion this music is expressing?,How confident are you in your ratings for this clip?,"Rank each of the songs in the survey (""A Sky Full of Stars,"" ""Politik,"" ""Yellow,"" ""The Scientist,"" ""Adventure of a Lifetime,"" and ""Clocks"") from least pleasurable to most pleasurable",How would you rate your liking of Coldplay's music?,Column 29,Rank each of the following songs from leas
3/9/2026 21:57:29,Some (1-4 years),Every day,Fairly familiar,5,5,Happy,4,3,5,Tense,2,4,3,nostalgic,3,2,2,Sad,4,7,7,Excited,3,4,4,Pleased,2,"Politik, Adventure of a Lifetime, The Scientist, A Sky Full of Stars, Yellow, Clocks",3,,
3/13/2026 23:59:23,Some (1-4 years),Almost constantly,Very familiar,7,6,Happy,5,2,3,Distressed,4,6,2,Distressed,4,3,1,Sad,5,7,7,Excited,5,4,5,Frustrated,4,"Adventure of a lifetime, A sky full of stars, yellow, scientist, politic",4,,
3/15/2026 10:31:12,Extensive (10+ years),Almost constantly,Very familiar,7,7,Excited,5,3,5,Tense,4,2,3,Sad,4,1,1,Sad,5,7,6,Happy,5,5,5,Pleased,4,"Politik, the scientist, yellow, clocks, a sky full of stars, adventure of a lifetime",4,,
3/15/2026 14:22:46,Some (1-4 years),Almost constantly,Slightly familiar,5,6,Content,4,2,4,Distressed,4,6,3,Pleased,5,3,2,Distressed,4,7,6,Happy,5,7,6,Excited,5,"Politik, The Scientist, Yellow, Sky Full of Stars, Adventure of a Lifetime, Clocks",1,,
3/15/2026 18:33:33,Extensive (10+ years),Every day,Fairly familiar,6,5,Excited,4,4,5,Tense,3,4,2,Content,2,3,2,Sad,4,6,7,Excited,3,5,2,Relaxed,4,"A sky full of stars, politik, adventure of a lifetime, clocks, the scientist, yellow",4,,
3/16/2026 13:52:29,Extensive (10+ years),Every day,Slightly familiar,6,7,Excited,4,4,5,Frustrated,3,6,3,Content,4,2,2,Sad,4,6,6,Excited,4,4,4,Frustrated,3,"The Scientist, Politik, Clocks, Yellow, Adventure of a Lifetime, A Sky Full of Stars",3,,
3/16/2026 14:06:09,Extensive (10+ years),Almost constantly,Fairly familiar,6,5,Content,5,2,4,Distressed,3,3,7,Sad,4,1,4,Miserable,5,7,7,Excited,5,5,5,Content,4,"politik, a sky full of stars, the adventure of a lifetime, yellow, the scientist, clocks",3,,
3/16/2026 17:54:27,Extensive (10+ years),Almost constantly,Fairly familiar,4,5,Content,4,3,7,Tense,5,2,6,Sad,4,2,4,Distressed,3,7,6,Excited,5,5,6,Content,4,"Politik, Adventure of a Lifetime, Clocks, the Scientist, Yellow, A Sky Full of Stars",3,,
3/16/2026 19:37:00,Some (1-4 years),Every day,Slightly familiar,5,6,Excited,5,3,4,Tense,5,6,6,Pleased,5,2,2,Sad,5,7,7,Happy,5,5,4,Pleased,5,"Politik, The Scientist, A Sky Full of Stars, Clocks, Adventure of a Lifetime",3,,
3/17/2026 15:03:28,None,Almost constantly,Fairly familiar,6,5,Happy,3,3,6,Frustrated,4,2,2,Sad,4,2,1,Miserable,4,6,6,Excited,5,4,5,Pleased,3,"A Sky Full of Stars, The Scientist, Adventure of a Lifetime, Clocks, Politik, Yellow",3,,
3/17/2026 21:14:57,None,Almost constantly,Slightly familiar,3,2,Frustrated,5,4,2,Tense,5,4,1,Relaxed,5,3,1,Sleepy,5,4,6,Pleased,5,4,3,Relaxed,5,"a sky full of stars, politik, the scientist, yellow, clocks, adventure of a lifetime",3,,
3/18/2026 9:46:36,Moderate (5-9 years),Almost constantly,Fairly familiar,7,6,Happy,5,2,7,Frustrated,5,3,2,Sad,5,1,1,Miserable,5,7,7,Excited,5,3,2,Tense,4,"A Sky Full of Stars, Clocks, Adventure of A Life, The Scientist, Yellow, Politiktime,  ",4,,
3/18/2026 12:49:03,Extensive (10+ years),Every day,Slightly familiar,6,5,Excited,3,2,3,Miserable,4,5,3,Pleased,3,2,1,Sad,4,5,4,Relaxed,4,3,4,Miserable,2,"Poltik, Clocks, Adventure of a lifetime, The scientist, Sky full of stars, Yellow ",2,,
